name;cores;cpumark;thread;tdp;socket;cat;cannonname
06/5f;16;5830;720;NA;Unknown;Unknown;06/5f
AArch64;4;833;368;NA;Unknown;Mobile/Embedded;AArch64
AArch64 rev 2 (aarch64);8;2411;908;NA;Unknown;Mobile/Embedded;AArch64 rev 2 (aarch64)
AArch64 rev 4 (aarch64);8;1813;588;NA;Unknown;Mobile/Embedded;AArch64 rev 4 (aarch64)
AC8257V/WAB;8;827;491;NA;Unknown;Unknown;AC8257V/WAB
AC8259V/WAB;8;940;510;NA;Unknown;Mobile/Embedded;AC8259V/WAB
Allwinner A133;4;666;408;NA;Unknown;Mobile/Embedded;Allwinner A133
Allwinner A333;5;1289;705;NA;Unknown;Mobile/Embedded;Allwinner A333
Allwinner A523;8;1904;586;NA;Unknown;Mobile/Embedded;Allwinner A523
Allwinner A527;8;2187;661;NA;Unknown;Mobile/Embedded;Allwinner A527
Allwinner A733;8;3109;1330;NA;Unknown;Mobile/Embedded;Allwinner A733
Allwinner H618;4;653;395;NA;Unknown;Mobile/Embedded;Allwinner H618
Allwinner h728;8;1953;616;NA;Unknown;Mobile/Embedded;Allwinner h728
AMD 3015Ce;2;2099;1337;6;FT5;Mobile/Embedded;AMD 3015Ce
AMD 3015e;2;2621;1294;6;Unknown;Laptop;AMD 3015e
AMD 3020e;2;2406;1384;6;Unknown;Laptop;AMD 3020e
AMD 4700S;8;17649;2345;NA;Unknown;Desktop;AMD 4700S
AMD A10 Micro-6700T APU;4;1426;722;5;FT3b;Laptop;AMD A10 Micro-6700T APU
AMD A10 PRO-7350B APU;4;1862;889;19;FP3;Laptop;AMD A10 PRO-7350B APU
AMD A10 PRO-7800B APU;2;3311;1495;65;FM2+;Desktop;AMD A10 PRO-7800B APU
AMD A10 PRO-7850B APU;2;3441;1565;95;FM2+;Desktop;AMD A10 PRO-7850B APU
AMD A10-4600M APU;2;1945;1081;35;FS1r2;Laptop;AMD A10-4600M APU
AMD A10-4655M APU;2;1654;889;25;FP2;Laptop;AMD A10-4655M APU
AMD A10-4657M APU;4;1759;940;35;FP2;Laptop;AMD A10-4657M APU
AMD A10-5700 APU;2;2747;1429;65;FM2;Desktop;AMD A10-5700 APU
AMD A10-5745M APU;4;1767;941;25;FP2;Laptop;AMD A10-5745M APU
AMD A10-5750M APU;4;2042;1166;35;FS1r2;Laptop;AMD A10-5750M APU
AMD A10-5757M APU;4;1997;1160;35;FP2;Laptop;AMD A10-5757M APU
